SPECIES	COUNTRIES	STOCK	DEVELOPMENT	TAC	PROPERTY.RIGHTS	CO.MANAGEMENT
Atlantic cod	PL	CODKAT_CODNS	NA	0.664	NA	0.256410256
Atlantic cod	PL	CODVIa	0.260416667	0.664	NA	0.256410256
Atlantic cod	PL	CODVIa	NA	0.664	NA	0.256410256
European hake	PL	HAKENRTN	0.260416667	0.977	NA	0.256410256
European hake	PL	HAKENRTN	NA	0.977	NA	0.256410256
European hake	PL	HAKESOTH	0.260416667	0.977	NA	0.256410256
European hake	PL	HAKESOTH	NA	0.977	NA	0.256410256
Atlantic cod	PT	CODBA2532	0.135416667	0.984	0.738095238	0.358974359
Atlantic cod	PT	CODCOASTNOR_CODNEAR	0.135416667	0.984	0.738095238	0.358974359
Atlantic cod	PT	CODFAPL	0.135416667	0.984	0.738095238	0.358974359
Atlantic cod	PT	CODICE	0.135416667	0.984	0.738095238	0.358974359
Atlantic cod	PT	CODIS	0.135416667	0.984	0.738095238	0.358974359
Atlantic cod	PT	CODKAT_CODNS	0.135416667	0.984	0.738095238	0.358974359
Atlantic cod	PT	CODVIa	0.135416667	0.984	0.738095238	0.358974359
European hake	PT	HAKENRTN	0.135416667	0.979	0.738095238	0.358974359
European hake	PT	HAKESOTH	0.135416667	0.979	0.738095238	0.358974359
Atlantic cod	SE	CODBA2532	0.864583333	0.479	0.654761905	0.128205128
Atlantic cod	SE	CODCOASTNOR_CODNEAR	0.864583333	0.479	0.654761905	0.128205128
Atlantic cod	SE	CODFAPL	0.864583333	0.479	0.654761905	0.128205128
Atlantic cod	SE	CODICE	0.864583333	0.479	0.654761905	0.128205128
Atlantic cod	SE	CODIS	0.864583333	0.479	0.654761905	0.128205128
Atlantic cod	SE	CODKAT_CODNS	0.864583333	0.479	0.654761905	0.128205128
Atlantic cod	SE	CODVIa	0.864583333	0.479	0.654761905	0.128205128
European hake	SE	HAKENRTN	0.864583333	0.976	0.654761905	0.128205128
European hake	SE	HAKESOTH	0.864583333	0.976	0.654761905	0.128205128
Atlantic cod	EE	CODBA2532	0.364583333	0.936	0.658730159	NA
Atlantic cod	EE	CODBA2532	NA	0.936	0.658730159	NA
Atlantic cod	EE	CODCOASTNOR_CODNEAR	0.364583333	0.936	0.658730159	NA
Atlantic cod	EE	CODCOASTNOR_CODNEAR	NA	0.936	0.658730159	NA
Atlantic cod	EE	CODFAPL	0.364583333	0.936	0.658730159	NA
Atlantic cod	EE	CODFAPL	NA	0.936	0.658730159	NA
Atlantic cod	EE	CODICE	0.364583333	0.936	0.658730159	NA
Atlantic cod	EE	CODICE	NA	0.936	0.658730159	NA
Atlantic cod	EE	CODIS	0.364583333	0.936	0.658730159	NA
Atlantic cod	EE	CODIS	NA	0.936	0.658730159	NA
Atlantic cod	EE	CODKAT_CODNS	0.364583333	0.936	0.658730159	NA
Atlantic cod	EE	CODKAT_CODNS	NA	0.936	0.658730159	NA
Atlantic cod	EE	CODVIa	0.364583333	0.936	0.658730159	NA
Atlantic cod	EE	CODVIa	NA	0.936	0.658730159	NA
European hake	EE	HAKENRTN	0.364583333	0.977	0.658730159	NA
European hake	EE	HAKENRTN	NA	0.977	0.658730159	NA
European hake	EE	HAKESOTH	0.364583333	0.977	0.658730159	NA
European hake	EE	HAKESOTH	NA	0.977	0.658730159	NA
Atlantic cod	EE	CODBA2532	0.364583333	0.936	NA	NA
Atlantic cod	EE	CODBA2532	NA	0.936	NA	NA
Atlantic cod	EE	CODCOASTNOR_CODNEAR	0.364583333	0.936	NA	NA
Atlantic cod	EE	CODCOASTNOR_CODNEAR	NA	0.936	NA	NA
Atlantic cod	EE	CODFAPL	0.364583333	0.936	NA	NA
Atlantic cod	EE	CODFAPL	NA	0.936	NA	NA
Atlantic cod	EE	CODICE	0.364583333	0.936	NA	NA
Atlantic cod	EE	CODICE	NA	0.936	NA	NA
Atlantic cod	EE	CODIS	0.364583333	0.936	NA	NA
Atlantic cod	EE	CODIS	NA	0.936	NA	NA
Atlantic cod	EE	CODKAT_CODNS	0.364583333	0.936	NA	NA
Atlantic cod	EE	CODKAT_CODNS	NA	0.936	NA	NA
Atlantic cod	EE	CODVIa	0.364583333	0.936	NA	NA
Atlantic cod	EE	CODVIa	NA	0.936	NA	NA
European hake	EE	HAKENRTN	0.364583333	0.977	NA	NA
European hake	EE	HAKENRTN	NA	0.977	NA	NA
European hake	EE	HAKESOTH	0.364583333	0.977	NA	NA
European hake	EE	HAKESOTH	NA	0.977	NA	NA
Atlantic cod	IE	CODBA2532	0.96875	0.917	0.714285714	NA
Atlantic cod	IE	CODBA2532	NA	0.917	0.714285714	NA
Atlantic cod	IE	CODCOASTNOR_CODNEAR	0.96875	0.917	0.714285714	NA
Atlantic cod	IE	CODCOASTNOR_CODNEAR	NA	0.917	0.714285714	NA
Atlantic cod	IE	CODFAPL	0.96875	0.917	0.714285714	NA
Atlantic cod	IE	CODFAPL	NA	0.917	0.714285714	NA
Atlantic cod	IE	CODICE	0.96875	0.917	0.714285714	NA
Atlantic cod	IE	CODICE	NA	0.917	0.714285714	NA
Atlantic cod	IE	CODIS	0.96875	0.917	0.714285714	NA
Atlantic cod	IE	CODIS	NA	0.917	0.714285714	NA
Atlantic cod	IE	CODKAT_CODNS	0.96875	0.917	0.714285714	NA
Atlantic cod	IE	CODKAT_CODNS	NA	0.917	0.714285714	NA
Atlantic cod	IE	CODVIa	0.96875	0.917	0.714285714	NA
Atlantic cod	IE	CODVIa	NA	0.917	0.714285714	NA
European hake	IE	HAKENRTN	0.96875	0.97	0.714285714	NA
European hake	IE	HAKENRTN	NA	0.97	0.714285714	NA
European hake	IE	HAKESOTH	0.96875	0.97	0.714285714	NA
European hake	IE	HAKESOTH	NA	0.97	0.714285714	NA
Atlantic cod	IE	CODBA2532	0.96875	0.917	NA	NA
Atlantic cod	IE	CODBA2532	NA	0.917	NA	NA
Atlantic cod	IE	CODCOASTNOR_CODNEAR	0.96875	0.917	NA	NA
Atlantic cod	IE	CODCOASTNOR_CODNEAR	NA	0.917	NA	NA
Atlantic cod	IE	CODFAPL	0.96875	0.917	NA	NA
Atlantic cod	IE	CODFAPL	NA	0.917	NA	NA
Atlantic cod	IE	CODICE	0.96875	0.917	NA	NA
Atlantic cod	IE	CODICE	NA	0.917	NA	NA
Atlantic cod	IE	CODIS	0.96875	0.917	NA	NA
