ASSESSID;STOCKID;STOCKLONG;TSYEAR;SSB;Fm;SSBLIM;FLIM;comments;SSB/SSBLIM;F/FLIM
NWWG-CODICE-1952-2018-ICESIMP2018;CODICE;Atlantic cod Iceland Grounds;1985;1.63E+05;6.60E-01;125000;0.74;;1.304;0.891891892
NWWG-CODICE-1952-2018-ICESIMP2018;CODICE;Atlantic cod Iceland Grounds;1986;1.96E+05;7.70E-01;125000;0.74;;1.568;1.040540541
NWWG-CODICE-1952-2018-ICESIMP2018;CODICE;Atlantic cod Iceland Grounds;1987;1.50E+05;8.60E-01;125000;0.74;;1.2;1.162162162
NWWG-CODICE-1952-2018-ICESIMP2018;CODICE;Atlantic cod Iceland Grounds;1988;1.68E+05;8.90E-01;125000;0.74;;1.344;1.202702703
NWWG-CODICE-1952-2018-ICESIMP2018;CODICE;Atlantic cod Iceland Grounds;1989;1.72E+05;7.10E-01;125000;0.74;;1.376;0.959459459
NWWG-CODICE-1952-2018-ICESIMP2018;CODICE;Atlantic cod Iceland Grounds;1990;2.10E+05;6.90E-01;125000;0.74;;1.68;0.932432432
NWWG-CODICE-1952-2018-ICESIMP2018;CODICE;Atlantic cod Iceland Grounds;1991;1.66E+05;7.90E-01;125000;0.74;;1.328;1.067567568
NWWG-CODICE-1952-2018-ICESIMP2018;CODICE;Atlantic cod Iceland Grounds;1992;1.54E+05;8.40E-01;125000;0.74;;1.232;1.135135135
NWWG-CODICE-1952-2018-ICESIMP2018;CODICE;Atlantic cod Iceland Grounds;1993;1.23E+05;8.60E-01;125000;0.74;;0.984;1.162162162
NWWG-CODICE-1952-2018-ICESIMP2018;CODICE;Atlantic cod Iceland Grounds;1994;1.59E+05;6.10E-01;125000;0.74;;1.272;0.824324324
NWWG-CODICE-1952-2018-ICESIMP2018;CODICE;Atlantic cod Iceland Grounds;1995;1.80E+05;5.00E-01;125000;0.74;;1.44;0.675675676
NWWG-CODICE-1952-2018-ICESIMP2018;CODICE;Atlantic cod Iceland Grounds;1996;1.62E+05;5.00E-01;125000;0.74;;1.296;0.675675676
NWWG-CODICE-1952-2018-ICESIMP2018;CODICE;Atlantic cod Iceland Grounds;1997;1.91E+05;5.30E-01;125000;0.74;;1.528;0.716216216
NWWG-CODICE-1952-2018-ICESIMP2018;CODICE;Atlantic cod Iceland Grounds;1998;2.03E+05;6.30E-01;125000;0.74;;1.624;0.851351351
NWWG-CODICE-1952-2018-ICESIMP2018;CODICE;Atlantic cod Iceland Grounds;1999;1.84E+05;7.10E-01;125000;0.74;;1.472;0.959459459
NWWG-CODICE-1952-2018-ICESIMP2018;CODICE;Atlantic cod Iceland Grounds;2000;1.75E+05;7.10E-01;125000;0.74;;1.4;0.959459459
NWWG-CODICE-1952-2018-ICESIMP2018;CODICE;Atlantic cod Iceland Grounds;2001;1.73E+05;7.10E-01;125000;0.74;;1.384;0.959459459
NWWG-CODICE-1952-2018-ICESIMP2018;CODICE;Atlantic cod Iceland Grounds;2002;2.01E+05;6.20E-01;125000;0.74;;1.608;0.837837838
