ASSESSID;STOCKID;STOCKLONG;TSYEAR;TBbest;TCbest;ERbest;BdivBmsypref;UdivUmsypref;BdivBmgtpref;UdivUmgtpref;TB;SSB;TN;R;TC;TL;RecC;F;ER;TBdivTBmsy;SSBdivSSBmsy;NdivNmsy;FdivFmsy;ERdivERmsy;CdivMSY;CdivMEANC;TBdivTBmgt;SSBdivSSBmgt;NdivNmgt;FdivFmgt
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;2012;2.33E+05;6.70E+04;2.78E-01;1.746031746;1.243333333;1.746031746;1.243333333;2.33E+05;1.54E+05;;;6.70E+04;5.12E+04;;3.73E-01;2.78E-01;;;;;;;0.448982172;;1.746031746;;1.243333333
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;2013;;4.29E+04;2.86E-01;2.040816327;;2.040816327;;;1.80E+05;;;4.29E+04;3.14E+04;;;2.86E-01;;;;;;;0.287482615;;2.040816327;;
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;2014;;4.52E+04;3.40E-01;;;;;;;;;4.52E+04;2.89E+04;;;3.40E-01;;;;;;;0.302895436;;;;
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;2015;;4.96E+04;3.44E-01;;;;;;;;;4.96E+04;3.77E+04;;;3.44E-01;;;;;;;0.332380832;;;;
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;2016;;3.77E+04;;;;;;;;;;3.77E+04;2.93E+04;;;;;;;;;;0.252636237;;;;
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;2017;;3.09E+04;;;;;;;;;;3.09E+04;2.53E+04;;;;;;;;;;0.207067897;;;;
NWWG-CODFAPL-1958-2018-ICESIMP2018;CODFAPL;Atlantic cod Faroe Plateau;1958;;;;;;;;;;;2.04E+07;;;;;;;;;;;;;;;;
NWWG-CODFAPL-1958-2018-ICESIMP2018;CODFAPL;Atlantic cod Faroe Plateau;1959;6.55E+04;2.24E+04;0.341984733;1.635530008;2.260869565;1.635530008;2.260869565;6.55E+04;4.78E+04;;1.86E+07;2.24E+04;2.24E+04;;5.20E-01;0.341984733;;;;2.260869565;;;1.064758866;;1.635530008;;2.260869565
NWWG-CODFAPL-1958-2018-ICESIMP2018;CODFAPL;Atlantic cod Faroe Plateau;1960;7.63E+04;3.23E+04;0.423328965;1.816875385;3.043478261;1.816875385;3.043478261;7.63E+04;5.31E+04;;2.66E+07;3.23E+04;3.23E+04;;7.00E-01;0.423328965;;;;3.043478261;;;1.535344258;;1.816875385;;3.043478261
NWWG-CODFAPL-1958-2018-ICESIMP2018;CODFAPL;Atlantic cod Faroe Plateau;1961;6.79E+04;2.16E+04;0.318114875;1.591049066;2.782608696;1.591049066;2.782608696;6.79E+04;4.65E+04;;2.73E+07;2.16E+04;2.16E+04;;6.40E-01;0.318114875;;;;2.782608696;;;1.026731764;;1.591049066;;2.782608696
NWWG-CODFAPL-1958-2018-ICESIMP2018;CODFAPL;Atlantic cod Faroe Plateau;1962;7.11E+04;2.10E+04;0.29535865;1.498665572;2.47826087;1.498665572;2.47826087;7.11E+04;4.38E+04;;1.99E+07;2.10E+04;2.10E+04;;5.70E-01;0.29535865;;;;2.47826087;;;0.998211437;;1.498665572;;2.47826087
NWWG-CODFAPL-1958-2018-ICESIMP2018;CODFAPL;Atlantic cod Faroe Plateau;1963;8.29E+04;2.22E+04;0.267792521;1.741599945;2.173913043;1.741599945;2.173913043;8.29E+04;5.09E+04;;1.12E+07;2.22E+04;2.22E+04;;5.00E-01;0.267792521;;;;2.173913043;;;1.055252091;;1.741599945;;2.173913043
NWWG-CODFAPL-1958-2018-ICESIMP2018;CODFAPL;Atlantic cod Faroe Plateau;1964;8.23E+04;2.11E+04;0.256379101;1.936631766;2.130434783;1.936631766;2.130434783;8.23E+04;5.66E+04;;1.79E+07;2.11E+04;2.11E+04;;4.90E-01;0.256379101;;;;2.130434783;;;1.002964825;;1.936631766;;2.130434783
NWWG-CODFAPL-1958-2018-ICESIMP2018;CODFAPL;Atlantic cod Faroe Plateau;1965;7.12E+04;2.42E+04;0.33988764;1.881885992;2.130434783;1.881885992;2.130434783;7.12E+04;5.50E+04;;2.27E+07;2.42E+04;2.42E+04;;4.90E-01;0.33988764;;;;2.130434783;;;1.150319847;;1.881885992;;2.130434783
NWWG-CODFAPL-1958-2018-ICESIMP2018;CODFAPL;Atlantic cod Faroe Plateau;1966;7.30E+04;2.04E+04;0.279452055;1.847669883;2.086956522;1.847669883;2.086956522;7.30E+04;5.40E+04;;2.10E+07;2.04E+04;2.04E+04;;4.80E-01;0.279452055;;;;2.086956522;;;0.96969111;;1.847669883;;2.086956522
NWWG-CODFAPL-1958-2018-ICESIMP2018;CODFAPL;Atlantic cod Faroe Plateau;1967;9.10E+04;2.36E+04;0.259340659;2.203517416;2;2.203517416;2;9.10E+04;6.44E+04;;1.26E+07;2.36E+04;2.36E+04;;4.60E-01;0.259340659;;;;2;;;1.12179952;;2.203517416;;2
NWWG-CODFAPL-1958-2018-ICESIMP2018;CODFAPL;Atlantic cod Faroe Plateau;1968;1.03E+05;2.99E+04;0.290291262;2.583316225;1.956521739;2.583316225;1.956521739;1.03E+05;7.55E+04;;8.77E+06;2.99E+04;2.99E+04;;4.50E-01;0.290291262;;;;1.956521739;;;1.421262951;;2.583316225;;1.956521739
NWWG-CODFAPL-1958-2018-ICESIMP2018;CODFAPL;Atlantic cod Faroe Plateau;1969;1.03E+05;3.24E+04;0.314563107;2.733867105;2.086956522;2.733867105;2.086956522;1.03E+05;7.99E+04;;9.82E+06;3.24E+04;3.24E+04;;4.80E-01;0.314563107;;;;2.086956522;;;1.540097646;;2.733867105;;2.086956522
NWWG-CODFAPL-1958-2018-ICESIMP2018;CODFAPL;Atlantic cod Faroe Plateau;1970;9.33E+04;2.42E+04;0.259378349;2.675699719;1.695652174;2.675699719;1.695652174;9.33E+04;7.82E+04;;1.91E+07;2.42E+04;2.42E+04;;3.90E-01;0.259378349;;;;1.695652174;;;1.150319847;;2.675699719;;1.695652174
NWWG-CODFAPL-1958-2018-ICESIMP2018;CODFAPL;Atlantic cod Faroe Plateau;1971;6.89E+04;2.30E+04;0.333817126;1.98795593;1.652173913;1.98795593;1.652173913;6.89E+04;5.81E+04;;1.80E+07;2.30E+04;2.30E+04;;3.80E-01;0.333817126;;;;1.652173913;;;1.093279193;;1.98795593;;1.652173913
NWWG-CODFAPL-1958-2018-ICESIMP2018;CODFAPL;Atlantic cod Faroe Plateau;1972;6.64E+04;1.87E+04;0.281626506;1.745021556;1.52173913;1.745021556;1.52173913;6.64E+04;5.10E+04;;3.92E+07;1.87E+04;1.87E+04;;3.50E-01;0.281626506;;;;1.52173913;;;0.888883518;;1.745021556;;1.52173913
NWWG-CODFAPL-1958-2018-ICESIMP2018;CODFAPL;Atlantic cod Faroe Plateau;1973;9.57E+04;2.22E+04;0.231974922;2.374597961;1.608695652;2.374597961;1.608695652;9.57E+04;6.94E+04;;4.01E+07;2.22E+04;2.22E+04;;3.70E-01;0.231974922;;;;1.608695652;;;1.055252091;;2.374597961;;1.608695652
NWWG-CODFAPL-1958-2018-ICESIMP2018;CODFAPL;Atlantic cod Faroe Plateau;1974;1.28E+05;2.46E+04;0.1921875;2.87073154;1.652173913;2.87073154;1.652173913;1.28E+05;8.39E+04;;2.44E+07;2.46E+04;2.46E+04;;3.80E-01;0.1921875;;;;1.652173913;;;1.169333398;;2.87073154;;1.652173913
NWWG-CODFAPL-1958-2018-ICESIMP2018;CODFAPL;Atlantic cod Faroe Plateau;1975;1.44E+05;3.68E+04;0.255555556;3.455827003;2.086956522;3.455827003;2.086956522;1.44E+05;1.01E+05;;1.11E+07;3.68E+04;3.68E+04;;4.80E-01;0.255555556;;;;2.086956522;;;1.749246709;;3.455827003;;2.086956522
NWWG-CODFAPL-1958-2018-ICESIMP2018;CODFAPL;Atlantic cod Faroe Plateau;1976;1.44E+05;3.98E+04;0.276388889;3.695339766;2.608695652;3.695339766;2.608695652;1.44E+05;1.08E+05;;1.29E+07;3.98E+04;3.98E+04;;6.00E-01;0.276388889;;;;2.608695652;;;1.891848343;;3.695339766;;2.608695652
NWWG-CODFAPL-1958-2018-ICESIMP2018;CODFAPL;Atlantic cod Faroe Plateau;1977;1.28E+05;3.49E+04;0.27265625;3.592691439;2.52173913;3.592691439;2.52173913;1.28E+05;1.05E+05;;1.55E+07;3.49E+04;3.49E+04;;5.80E-01;0.27265625;;;;2.52173913;;;1.658932341;;3.592691439;;2.52173913
NWWG-CODFAPL-1958-2018-ICESIMP2018;CODFAPL;Atlantic cod Faroe Plateau;1978;9.02E+04;2.66E+04;0.294900222;2.508040786;2.130434783;2.508040786;2.130434783;9.02E+04;7.33E+04;;2.42E+07;2.66E+04;2.66E+04;;4.90E-01;0.294900222;;;;2.130434783;;;1.264401154;;2.508040786;;2.130434783
NWWG-CODFAPL-1958-2018-ICESIMP2018;CODFAPL;Atlantic cod Faroe Plateau;1979;7.78E+04;2.31E+04;0.296915167;2.100869089;2.086956522;2.100869089;2.086956522;7.78E+04;6.14E+04;;1.77E+07;2.31E+04;2.31E+04;;4.80E-01;0.296915167;;;;2.086956522;;;1.098032581;;2.100869089;;2.086956522
NWWG-CODFAPL-1958-2018-ICESIMP2018;CODFAPL;Atlantic cod Faroe Plateau;1980;7.91E+04;2.05E+04;0.259165613;1.871621159;1.869565217;1.871621159;1.869565217;7.91E+04;5.47E+04;;2.68E+07;2.05E+04;2.05E+04;;4.30E-01;0.259165613;;;;1.869565217;;;0.974444498;;1.871621159;;1.869565217
NWWG-CODFAPL-1958-2018-ICESIMP2018;CODFAPL;Atlantic cod Faroe Plateau;1981;8.26E+04;2.30E+04;0.278450363;2.015328817;2.043478261;2.015328817;2.043478261;8.26E+04;5.89E+04;;3.67E+07;2.30E+04;2.30E+04;;4.70E-01;0.278450363;;;;2.043478261;;;1.093279193;;2.015328817;;2.043478261
