ASSESSID;STOCKID;STOCKLONG;TSYEAR;TBbest;TCbest;ERbest;BdivBmsypref;UdivUmsypref;BdivBmgtpref;UdivUmgtpref;TB;SSB;TN;R;TC;TL;RecC;F;ER;TBdivTBmsy;SSBdivSSBmsy;NdivNmsy;FdivFmsy;ERdivERmsy;CdivMSY;CdivMEANC;TBdivTBmgt;SSBdivSSBmgt;NdivNmgt;FdivFmgt
WGBIE-HAKESOTH-1982-2018-ICESIMP2018;HAKESOTH;Hake ICES 8c-9a;1987;4.01E+04;1.62E+04;0.403990025;3.315315315;2.036;3.315315315;2.036;4.01E+04;3.68E+04;;5.01E+07;1.62E+04;1.62E+04;;5.09E-01;0.403990025;;;;2.036;;;1.144022912;;3.315315315;;2.036
WGBIE-HAKESOTH-1982-2018-ICESIMP2018;HAKESOTH;Hake ICES 8c-9a;1988;3.23E+04;1.67E+04;0.517027864;2.432432432;2.612;2.432432432;2.612;3.23E+04;2.70E+04;;7.12E+07;1.67E+04;1.67E+04;;6.53E-01;0.517027864;;;;2.612;;;1.179332261;;2.432432432;;2.612
WGBIE-HAKESOTH-1982-2018-ICESIMP2018;HAKESOTH;Hake ICES 8c-9a;1989;2.50E+04;1.38E+04;0.552;1.792792793;2.6;1.792792793;2.6;2.50E+04;1.99E+04;;7.81E+07;1.38E+04;1.38E+04;;6.50E-01;0.552;;;;2.6;;;0.974538036;;1.792792793;;2.6
WGBIE-HAKESOTH-1982-2018-ICESIMP2018;HAKESOTH;Hake ICES 8c-9a;1990;2.22E+04;1.32E+04;0.594594595;1.468468468;2.78;1.468468468;2.78;2.22E+04;1.63E+04;;8.23E+07;1.32E+04;1.32E+04;;6.95E-01;0.594594595;;;;2.78;;;0.932166817;;1.468468468;;2.78
WGBIE-HAKESOTH-1982-2018-ICESIMP2018;HAKESOTH;Hake ICES 8c-9a;1991;2.15E+04;1.28E+04;0.595348837;1.486486486;2.756;1.486486486;2.756;2.15E+04;1.65E+04;;6.98E+07;1.28E+04;1.28E+04;;6.89E-01;0.595348837;;;;2.756;;;0.903919338;;1.486486486;;2.756
WGBIE-HAKESOTH-1982-2018-ICESIMP2018;HAKESOTH;Hake ICES 8c-9a;1992;2.07E+04;1.43E+04;0.690821256;1.396396396;3.364;1.396396396;3.364;2.07E+04;1.55E+04;;5.24E+07;1.43E+04;1.38E+04;;8.41E-01;0.690821256;;;;3.364;;;1.009847385;;1.396396396;;3.364
WGBIE-HAKESOTH-1982-2018-ICESIMP2018;HAKESOTH;Hake ICES 8c-9a;1993;1.68E+04;1.22E+04;0.726190476;1.153153153;3.632;1.153153153;3.632;1.68E+04;1.28E+04;;6.11E+07;1.22E+04;1.15E+04;;9.08E-01;0.726190476;;;;3.632;;;0.861548119;;1.153153153;;3.632
WGBIE-HAKESOTH-1982-2018-ICESIMP2018;HAKESOTH;Hake ICES 8c-9a;1994;1.27E+04;1.09E+04;0.858267717;0.8;3.576;0.8;3.576;1.27E+04;8.88E+03;;1.20E+08;1.09E+04;9.86E+03;;8.94E-01;0.858267717;;;;3.576;;;0.769743811;;0.8;;3.576
WGBIE-HAKESOTH-1982-2018-ICESIMP2018;HAKESOTH;Hake ICES 8c-9a;1995;1.43E+04;1.43E+04;1;0.637837838;4.76;0.637837838;4.76;1.43E+04;7.08E+03;;5.12E+07;1.43E+04;1.22E+04;;1.19E+00;1;;;;4.76;;;1.009847385;;0.637837838;;4.76
WGBIE-HAKESOTH-1982-2018-ICESIMP2018;HAKESOTH;Hake ICES 8c-9a;1996;1.21E+04;1.16E+04;0.958677686;0.766666667;4.64;0.766666667;4.64;1.21E+04;8.51E+03;;1.01E+08;1.16E+04;9.71E+03;;1.16E+00;0.958677686;;;;4.64;;;0.8191769;;0.766666667;;4.64
WGBIE-HAKESOTH-1982-2018-ICESIMP2018;HAKESOTH;Hake ICES 8c-9a;1997;1.07E+04;1.08E+04;1.009345794;0.583783784;4.72;0.583783784;4.72;1.07E+04;6.48E+03;;8.08E+07;1.08E+04;8.50E+03;;1.18E+00;1.009345794;;;;4.72;;;0.762681941;;0.583783784;;4.72
WGBIE-HAKESOTH-1982-2018-ICESIMP2018;HAKESOTH;Hake ICES 8c-9a;1998;1.08E+04;9.36E+03;0.866666667;0.514414414;3.768;0.514414414;3.768;1.08E+04;5.71E+03;;5.78E+07;9.36E+03;7.68E+03;;9.42E-01;0.866666667;;;;3.768;;;0.660991016;;0.514414414;;3.768
WGBIE-HAKESOTH-1982-2018-ICESIMP2018;HAKESOTH;Hake ICES 8c-9a;1999;1.20E+04;8.69E+03;0.724166667;0.667567568;3.168;0.667567568;3.168;1.20E+04;7.41E+03;;6.70E+07;8.69E+03;7.17E+03;;7.92E-01;0.724166667;;;;3.168;;;0.613676488;;0.667567568;;3.168
WGBIE-HAKESOTH-1982-2018-ICESIMP2018;HAKESOTH;Hake ICES 8c-9a;2000;1.26E+04;9.74E+03;0.773015873;0.781981982;3.536;0.781981982;3.536;1.26E+04;8.68E+03;;7.03E+07;9.74E+03;7.90E+03;;8.84E-01;0.773015873;;;;3.536;;;0.687826121;;0.781981982;;3.536
WGBIE-HAKESOTH-1982-2018-ICESIMP2018;HAKESOTH;Hake ICES 8c-9a;2001;1.32E+04;9.24E+03;0.7;0.794594595;3.46;0.794594595;3.46;1.32E+04;8.82E+03;;4.96E+07;9.24E+03;7.58E+03;;8.65E-01;0.7;;;;3.46;;;0.652516772;;0.794594595;;3.46
WGBIE-HAKESOTH-1982-2018-ICESIMP2018;HAKESOTH;Hake ICES 8c-9a;2002;1.25E+04;8.18E+03;0.6544;0.830630631;3.296;0.830630631;3.296;1.25E+04;9.22E+03;;7.07E+07;8.18E+03;6.69E+03;;8.24E-01;0.6544;;;;3.296;;;0.577660952;;0.830630631;;3.296
WGBIE-HAKESOTH-1982-2018-ICESIMP2018;HAKESOTH;Hake ICES 8c-9a;2003;1.28E+04;8.21E+03;0.64140625;0.80990991;3.352;0.80990991;3.352;1.28E+04;8.99E+03;;6.01E+07;8.21E+03;6.74E+03;;8.38E-01;0.64140625;;;;3.352;;;0.579779513;;0.80990991;;3.352
WGBIE-HAKESOTH-1982-2018-ICESIMP2018;HAKESOTH;Hake ICES 8c-9a;2004;1.27E+04;7.86E+03;0.618897638;0.80990991;2.924;0.80990991;2.924;1.27E+04;8.99E+03;;7.79E+07;7.86E+03;6.94E+03;;7.31E-01;0.618897638;;;;2.924;;;0.555062968;;0.80990991;;2.924
WGBIE-HAKESOTH-1982-2018-ICESIMP2018;HAKESOTH;Hake ICES 8c-9a;2005;1.41E+04;1.03E+04;0.730496454;0.843243243;3.112;0.843243243;3.112;1.41E+04;9.36E+03;;1.28E+08;1.03E+04;8.33E+03;;7.78E-01;0.730496454;;;;3.112;;;0.727372592;;0.843243243;;3.112
WGBIE-HAKESOTH-1982-2018-ICESIMP2018;HAKESOTH;Hake ICES 8c-9a;2006;1.78E+04;1.41E+04;0.792134831;0.963963964;3.592;0.963963964;3.592;1.78E+04;1.07E+04;;9.53E+07;1.41E+04;1.08E+04;;8.98E-01;0.792134831;;;;3.592;;;0.995723645;;0.963963964;;3.592
WGBIE-HAKESOTH-1982-2018-ICESIMP2018;HAKESOTH;Hake ICES 8c-9a;2007;1.99E+04;1.74E+04;0.874371859;1.126126126;3.832;1.126126126;3.832;1.99E+04;1.25E+04;;1.70E+08;1.74E+04;1.49E+04;;9.58E-01;0.874371859;;;;3.832;;;1.22876535;;1.126126126;;3.832
WGBIE-HAKESOTH-1982-2018-ICESIMP2018;HAKESOTH;Hake ICES 8c-9a;2008;2.16E+04;1.91E+04;0.884259259;1.108108108;3.72;1.108108108;3.72;2.16E+04;1.23E+04;;1.16E+08;1.91E+04;1.68E+04;;9.30E-01;0.884259259;;;;3.72;;;1.348817137;;1.108108108;;3.72
WGBIE-HAKESOTH-1982-2018-ICESIMP2018;HAKESOTH;Hake ICES 8c-9a;2009;2.40E+04;2.22E+04;0.925;1.279279279;3.868;1.279279279;3.868;2.40E+04;1.42E+04;;1.06E+08;2.22E+04;1.92E+04;;9.67E-01;0.925;;;;3.868;;;1.567735101;;1.279279279;;3.868
WGBIE-HAKESOTH-1982-2018-ICESIMP2018;HAKESOTH;Hake ICES 8c-9a;2010;2.33E+04;1.69E+04;0.725321888;1.27027027;2.92;1.27027027;2.92;2.33E+04;1.41E+04;;6.39E+07;1.69E+04;1.54E+04;;7.30E-01;0.725321888;;;;2.92;;;1.193456001;;1.27027027;;2.92
